level1,level2_fkg,level3_fkg,level4_fkg
6.5,7.6,5.7,2.5
11.1,6.7,-0.2,46.2
9.7,6.4,7.4,12.7
5.9,5.5,8.7,5.8
7.6,6.8,10.3,6.7
5.3,5.9,5.4,5.6
2.7,4.8,0.3,1.6
9.0,1.0,5.9,6.3
6.6,12.8,5.2,7.4
8.8,8.6,7.2,6.7
4.7,6.6,8.3,5.6
3.7,4.6,6.2,6.0
12.3,7.8,9.3,8.2
7.4,3.3,6.9,13.0
8.5,8.1,6.8,5.2
6.5,7.4,5.7,5.8
6.0,5.7,0.4,0.1
6.9,5.2,5.7,-1.0
7.3,5.9,7.9,9.8
10.3,8.8,5.8,10.5
10.9,12.1,8.6,7.2
1.6,3.2,6.0,6.9
3.6,5.6,6.5,6.9
9.1,8.8,3.8,11.1
10.3,7.0,8.8,20.4
5.0,9.5,7.0,13.8
2.7,14.0,9.2,7.2
15.0,8.4,11.1,5.9
8.7,3.0,11.1,7.6
2.5,3.3,4.2,34.9
6.4,8.1,5.1,6.3
5.9,6.8,5.7,3.6
10.0,12.7,6.8,7.7
15.0,6.9,10.9,108.9
12.7,10.7,18.1,2.3
6.0,2.4,12.6,7.7
11.0,4.8,8.2,8.2
3.8,11.3,9.4,6.2
12.7,9.2,7.2,4.3
7.8,12.2,11.1,7.3
10.3,8.2,7.5,5.0
9.6,2.7,10.2,10.3
8.2,3.4,6.5,7.2
3.2,3.7,1.4,2.0
7.3,8.9,8.7,10.6
5.8,8.2,9.9,5.9
9.7,5.5,8.2,7.6
12.2,14.0,20.2,11.5
8.3,8.4,7.6,7.2
3.8,6.3,3.2,6.0
10.4,6.3,11.5,5.2
9.3,8.5,6.0,9.1
7.6,6.9,5.9,10.1
9.5,7.9,2.9,6.0
6.2,9.9,12.8,11.8
8.5,9.5,4.2,113.2
7.1,4.7,8.1,6.8
10.2,19.5,13.3,11.4
5.1,7.7,5.8,5.4
4.9,7.1,3.2,8.1
5.8,4.0,4.4,4.2
3.4,8.3,7.5,1.9
12.5,15.4,7.0,5.5
8.0,6.4,12.2,12.3
3.7,2.0,8.7,5.1
11.5,11.9,12.1,8.0
11.1,5.0,8.0,10.4
5.5,3.5,4.1,5.6
12.2,8.5,9.7,8.4
13.1,6.8,8.7,11.9
4.1,3.1,2.6,7.2
7.0,6.8,2.0,5.7
9.9,9.1,4.4,7.6
4.9,4.8,11.7,11.9
12.2,8.0,1.6,2.6
7.1,10.0,7.2,12.7
17.7,8.9,1.7,9.1
5.4,6.6,4.0,6.0
2.9,4.6,3.9,6.0
12.9,10.1,12.5,14.5
9.1,7.1,5.6,3.5
3.0,5.6,4.3,2.2
3.4,5.1,5.2,2.9
7.8,4.1,4.0,6.4
12.3,0.2,7.4,11.1
14.2,12.3,7.6,19.3
5.6,6.8,12.2,6.4
7.3,7.0,6.6,9.9
8.6,3.9,7.2,8.6
2.1,2.6,7.2,6.0
6.1,4.6,9.5,11.1
6.4,14.6,14.2,13.4
8.1,8.5,12.9,8.7
12.2,15.8,7.7,7.9
10.5,7.9,8.2,11.9
5.9,3.6,8.7,14.6
6.9,8.9,2.6,12.1
6.2,2.5,5.4,14.5
6.8,4.3,3.7,15.0
7.7,8.2,10.9,5.6
3.2,3.0,4.6,3.0
15.8,12.5,8.6,15.8
4.3,4.8,4.6,7.2
5.5,5.8,2.0,3.0
8.1,4.5,13.0,8.3
7.5,4.9,3.6,3.8
18.5,5.6,5.1,11.3
12.7,6.8,7.2,7.2
12.5,10.7,8.2,6.8
10.4,9.1,7.1,8.0
8.8,8.7,4.2,5.5
6.2,9.1,4.2,6.5
15.8,9.5,16.2,7.2
6.9,4.3,-0.3,2.2
8.0,13.0,6.9,9.7
5.2,7.4,13.4,7.2
16.4,13.0,10.9,9.5
8.6,6.3,9.8,2.8
9.1,7.8,5.3,3.0
19.3,8.8,12.2,9.1
